"","whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"1","maleCareer","prime",56410," ",1,64432,"","","",NA,NA,"",""
"2","","iat",3878,"j",4,145274,"career","career","career","family","career","true",""
"3","","iat",2003,"j",6,147534,"career","career","career","family","career","true",""
"4","","iat",2062,"f",8,149850,"family","family","family","family","career","true",""
"5","","iat",2291,"j",10,152397,"career","career","career","family","career","true",""
"6","","iat",1974,"j",12,154626,"career","career","career","family","career","true",""
"7","","iat",1279,"f",14,156158,"family","family","family","family","career","true",""
"8","","iat",972,"f",16,157384,"family","family","family","family","career","true",""
"9","","iat",856,"f",18,158493,"family","family","family","family","career","true",""
"10","","iat",2319,"j",20,161067,"career","career","career","family","career","true",""
"11","","iat",790,"f",22,162111,"family","family","family","family","career","true",""
"12","","iat",1026,"f",24,163391,"family","family","family","family","career","true",""
"13","","iat",822,"j",26,164466,"career","career","career","family","career","true",""
"14","","iat",1070,"f",28,165791,"family","family","family","family","career","true",""
"15","","iat",705,"j",30,166750,"career","career","career","family","career","true",""
"16","","iat",913,"f",32,167916,"family","family","family","family","career","true",""
"17","","iat",858,"j",34,169028,"career","career","career","family","career","true",""
"18","","iat",1087,"f",36,170369,"family","family","family","family","career","true",""
"19","","iat",938,"j",38,171561,"career","career","career","family","career","true",""
"20","","iat",718,"f",40,172533,"family","family","family","family","career","true",""
"21","","iat",513,"f",42,173301,"family","family","family","family","career","true",""
"22","","iat",601,"f",44,174156,"family","family","family","family","career","true",""
"23","","iat",565,"j",46,174976,"career","career","career","family","career","true",""
"24","","iat",632,"f",48,175863,"family","family","family","family","career","true",""
"25","","iat",613,"j",50,176730,"career","career","career","family","career","true",""
"26","","iat",872,"j",52,177856,"career","career","career","family","career","true",""
"27","","iat",739,"f",54,178849,"family","family","family","family","career","true",""
"28","","iat",712,"f",56,179814,"family","family","family","family","career","true",""
"29","","iat",642,"f",58,180709,"family","family","family","family","career","true",""
"30","","iat",566,"j",60,181530,"career","career","career","family","career","true",""
"31","","iat",578,"f",62,182362,"family","family","family","family","career","true",""
"32","","iat",775,"j",64,183392,"career","career","career","family","career","true",""
"33","","iat",774,"j",66,184420,"career","career","career","family","career","true",""
"34","","iat",555,"j",68,185228,"career","career","career","family","career","true",""
"35","","iat",681,"f",70,186164,"family","family","family","family","career","true",""
"36","","iat",702,"j",72,187118,"career","career","career","family","career","true",""
"37","","iat",738,"j",74,188110,"career","career","career","family","career","true",""
"38","","iat",1018,"f",77,198789,"men","men","men","family","career","true",""
"39","","iat",621,"j",79,199665,"men","men","men","men","women","false",""
"40","","iat",715,"j",81,200634,"women","women","women","men","women","true",""
"41","","iat",1288,"j",83,202176,"women","women","women","men","women","true",""
"42","","iat",815,"f",85,203246,"men","men","men","men","women","true",""
"43","","iat",789,"f",87,204289,"men","men","men","men","women","true",""
"44","","iat",810,"j",89,205352,"women","women","women","men","women","true",""
