"","whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"1","femaleCareer","prime",15583," ",2,38010,"","","","","","",""
"2","","iat",1639,"j",5,51112,"men","men","men","Mental illness","men","true",""
"3","","iat",660,"f",7,52030,"women","women","women","women","Physical illness","true",""
"4","","iat",913,"j",9,53200,"men","men","men","Mental illness","men","true",""
"5","","iat",648,"j",11,54103,"men","men","men","Mental illness","men","true",""
"6","","iat",572,"f",13,54931,"women","women","women","women","Physical illness","true",""
"7","","iat",589,"f",15,55777,"women","women","women","women","Physical illness","true",""
"8","","iat",523,"f",17,56554,"women","women","women","women","Physical illness","true",""
"9","","iat",566,"j",19,57375,"men","men","men","Mental illness","men","true",""
"10","","iat",608,"f",21,58238,"women","women","women","women","Physical illness","true",""
"11","","iat",587,"j",23,59079,"men","men","men","Mental illness","men","true",""
"12","","iat",566,"j",25,59900,"men","men","men","Mental illness","men","true",""
"13","","iat",2411,"j",27,62568,"men","men","men","Mental illness","men","true",""
"14","","iat",917,"f",29,63739,"women","women","women","women","Physical illness","true",""
"15","","iat",815,"j",31,64807,"men","men","men","Mental illness","men","true",""
"16","","iat",613,"f",33,65675,"women","women","women","women","Physical illness","true",""
"17","","iat",522,"f",35,66450,"women","women","women","women","Physical illness","true",""
"18","","iat",682,"j",37,67386,"men","men","men","Mental illness","men","true",""
"19","","iat",688,"f",39,68329,"women","women","women","women","Physical illness","true",""
"20","","iat",546,"j",41,69129,"men","men","men","Mental illness","men","true",""
"21","","iat",668,"f",43,70050,"women","women","women","women","Physical illness","true",""
"22","","iat",762,"j",45,71066,"men","men","men","Mental illness","men","true",""
"23","","iat",542,"f",47,71862,"women","women","women","women","Physical illness","true",""
"24","","iat",610,"f",49,72726,"women","women","women","women","Physical illness","true",""
"25","","iat",698,"j",51,73681,"men","men","men","Mental illness","men","true",""
"26","","iat",896,"f",53,74835,"women","women","women","women","Physical illness","true",""
"27","","iat",1116,"j",55,76221,"men","men","men","Mental illness","men","true",""
"28","","iat",667,"f",57,77142,"women","women","women","women","Physical illness","true",""
"29","","iat",499,"f",59,77895,"women","women","women","women","Physical illness","true",""
"30","","iat",1857,"j",61,80007,"men","men","men","Mental illness","men","true",""
"31","","iat",2234,"j",63,82495,"men","men","men","Mental illness","men","true",""
"32","","iat",491,"f",65,83241,"women","women","women","women","Physical illness","true",""
"33","","iat",654,"j",67,84148,"men","men","men","Mental illness","men","true",""
"34","","iat",994,"j",69,85395,"men","men","men","Mental illness","men","true",""
"35","","iat",646,"f",71,86296,"women","women","women","women","Physical illness","true",""
"36","","iat",1961,"j",73,88512,"men","men","men","Mental illness","men","true",""
"37","","iat",600,"f",75,89368,"women","women","women","women","Physical illness","true",""
"38","","iat",3497,"f",78,96486,"family","family","family","family","career","true",""
"39","","iat",2357,"f",80,99098,"family","family","family","family","career","true",""
"40","","iat",1594,"f",82,100948,"family","family","family","family","career","true",""
"41","","iat",1603,"f",84,102807,"family","family","family","family","career","true",""
"42","","iat",3826,"f",86,106887,"family","family","family","family","career","true",""
"43","","iat",795,"f",88,107938,"family","family","family","family","career","true",""
"44","","iat",958,"j",90,109151,"career","career","career","Cishet","career","true",""
"45","","iat",597,"j",92,110005,"career","career","career","Cishet","career","true",""
"46","","iat",839,"f",94,111098,"family","family","family","family","career","true",""
"47","","iat",1358,"f",96,112711,"family","family","family","family","career","true",""
"48","","iat",703,"j",98,113670,"career","career","career","Cishet","career","true",""
"49","","iat",604,"j",100,114529,"career","career","career","Cishet","career","true",""
"50","","iat",619,"j",102,115401,"career","career","career","Cishet","career","true",""
"51","","iat",588,"f",104,116243,"family","family","family","family","career","true",""
"52","","iat",948,"f",106,117444,"family","family","family","family","career","true",""
"53","","iat",576,"j",108,118276,"career","career","career","Cishet","career","true",""
"54","","iat",579,"j",110,119109,"career","career","career","Cishet","career","true",""
"55","","iat",559,"j",112,119922,"career","career","career","Cishet","career","true",""
"56","","iat",725,"f",114,120901,"family","family","family","family","career","true",""
"57","","iat",716,"f",116,121872,"family","family","family","family","career","true",""
"58","","iat",613,"j",118,122740,"career","career","career","Cishet","career","true",""
"59","","iat",877,"j",120,123872,"career","career","career","Cishet","career","true",""
"60","","iat",781,"j",122,124907,"career","career","career","Cishet","career","true",""
"61","","iat",560,"j",124,125722,"career","career","career","Cishet","career","true",""
"62","","iat",1043,"j",126,127019,"career","career","career","Cishet","career","true",""
"63","","iat",561,"j",128,127836,"career","career","career","Cishet","career","true",""
"64","","iat",824,"j",130,128916,"career","career","career","Cishet","career","true",""
"65","","iat",872,"f",132,130044,"family","family","family","family","career","true",""
"66","","iat",647,"j",134,130947,"career","career","career","Cishet","career","true",""
"67","","iat",728,"f",136,131930,"family","family","family","family","career","true",""
"68","","iat",609,"f",138,132794,"family","family","family","family","career","true",""
"69","","iat",768,"f",140,133816,"family","family","family","family","career","true",""
"70","","iat",1525,"j",142,135597,"career","career","career","Cishet","career","true",""
"71","","iat",1360,"f",144,137212,"family","family","family","family","career","true",""
"72","","iat",716,"f",146,138182,"family","family","family","family","career","true",""
"73","","iat",556,"j",148,138993,"career","career","career","Cishet","career","true",""
"74","","iat",2127,"f",151,148384,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"75","","iat",1268,"j",153,149908,"men","men","men or career","Mental illness or Cishet","men","true",""
"76","","iat",4305,"j",155,154468,"career","career","men or career","Mental illness or Cishet","career","true",""
"77","","iat",1150,"f",157,155873,"family","family","women or family","family","career","true",""
"78","","iat",1189,"j",159,157318,"career","career","men or career","Mental illness or Cishet","career","true",""
"79","","iat",651,"j",161,158223,"career","career","men or career","Mental illness or Cishet","career","true",""
"80","","iat",643,"j",163,159120,"career","career","men or career","Mental illness or Cishet","career","true",""
"81","","iat",593,"f",165,159968,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"82","","iat",1530,"f",167,161753,"family","family","women or family","family","career","true",""
"83","","iat",1160,"f",169,163169,"family","family","women or family","family","career","true",""
"84","","iat",924,"f",171,164349,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"85","","iat",1009,"j",173,165613,"men","men","men or career","Mental illness or Cishet","men","true",""
"86","","iat",1297,"f",175,167165,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"87","","iat",1095,"f",177,168515,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"88","","iat",1026,"j",179,169795,"career","career","men or career","Mental illness or Cishet","career","true",""
"89","","iat",695,"j",181,170745,"career","career","men or career","Mental illness or Cishet","career","true",""
"90","","iat",1700,"f",183,172701,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"91","","iat",3080,"j",185,176036,"career","career","men or career","Mental illness or Cishet","career","true",""
"92","","iat",755,"j",187,177046,"career","career","men or career","Mental illness or Cishet","career","true",""
"93","","iat",1049,"j",189,178350,"men","men","men or career","Mental illness or Cishet","men","true",""
"94","","iat",1087,"j",191,179693,"career","career","men or career","Mental illness or Cishet","career","true",""
"95","","iat",1254,"f",193,181202,"family","family","women or family","family","career","true",""
"96","","iat",2288,"j",195,183746,"men","men","men or career","Mental illness or Cishet","men","true",""
"97","","iat",725,"f",197,184726,"family","family","women or family","family","career","true",""
"98","","iat",662,"f",199,185642,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"99","","iat",889,"f",201,186786,"family","family","women or family","family","career","true",""
"100","","iat",850,"f",203,187892,"family","family","women or family","family","career","true",""
"101","","iat",694,"j",205,188842,"men","men","men or career","Mental illness or Cishet","men","true",""
"102","","iat",1929,"j",207,191026,"men","men","men or career","Mental illness or Cishet","men","true",""
"103","","iat",987,"j",209,192269,"career","career","men or career","Mental illness or Cishet","career","true",""
"104","","iat",722,"f",211,193247,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"105","","iat",799,"f",213,194300,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"106","","iat",765,"f",215,195320,"family","family","women or family","family","career","true",""
"107","","iat",1147,"f",217,196722,"women","women","women or family","women","Physical illness or LGBTQ+","true",""
"108","","iat",949,"j",219,197927,"men","men","men or career","Mental illness or Cishet","men","true",""
"109","","iat",3833,"j",221,202016,"men","men","men or career","Mental illness or Cishet","men","true",""
"110","","iat",3413,"j",224,208535,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"111","","iat",914,"j",226,209704,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"112","","iat",2214,"j",228,212176,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"113","","iat",1417,"j",230,213847,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"114","","iat",807,"j",232,214909,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"115","","iat",974,"f",234,216139,"career","career","women or career","career","family","true",""
"116","","iat",649,"j",236,217043,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"117","","iat",2769,"f",238,220067,"women","women","women or career","women","Physical illness or Cishet","true",""
"118","","iat",1032,"j",240,221354,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"119","","iat",1492,"j",242,223101,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"120","","iat",1045,"f",244,224401,"career","career","women or career","career","family","true",""
"121","","iat",3587,"j",246,228243,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"122","","iat",1755,"f",248,230253,"career","career","women or career","career","family","true",""
"123","","iat",1339,"j",250,231847,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"124","","iat",885,"f",252,232987,"career","career","women or career","career","family","true",""
"125","","iat",718,"f",254,233959,"career","career","women or career","career","family","true",""
"126","","iat",1781,"f",256,235995,"women","women","women or career","women","Physical illness or Cishet","true",""
"127","","iat",859,"j",258,237109,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"128","","iat",1193,"j",260,238557,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"129","","iat",591,"j",262,239403,"men","men","men or family","Mental illness or LGBTQ+","men","true",""
"130","","iat",743,"f",264,240401,"women","women","women or career","women","Physical illness or Cishet","true",""
"131","","iat",801,"f",266,241458,"women","women","women or career","women","Physical illness or Cishet","true",""
"132","","iat",1972,"j",268,243685,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"133","","iat",1130,"f",270,245070,"career","career","women or career","career","family","true",""
"134","","iat",914,"f",272,246238,"women","women","women or career","women","Physical illness or Cishet","true",""
"135","","iat",1786,"j",274,248279,"family","family","men or family","Mental illness or LGBTQ+","family","true",""
"136","","iat",729,"f",276,249262,"women","women","women or career","women","Physical illness or Cishet","true",""
"137","","iat",1084,"f",278,250601,"career","career","women or career","career","family","true",""
