"","whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"1","maleCareer","prime",11631," ",2,21367,"","","","","","",""
"2","","iat",3337,"f",5,32480,"family","family","family","family","career","true",""
"3","","iat",1903,"j",7,34639,"career","career","career","family","career","true",""
"4","","iat",1519,"j",9,36414,"career","career","career","family","career","true",""
"5","","iat",1908,"f",11,38578,"family","family","family","family","career","true",""
"6","","iat",1343,"f",13,40175,"family","family","family","family","career","true",""
"7","","iat",1483,"f",15,41912,"family","family","family","family","career","true",""
"8","","iat",935,"f",17,43102,"family","family","family","family","career","true",""
"9","","iat",1216,"f",19,44572,"family","family","family","family","career","true",""
"10","","iat",1655,"j",21,46482,"career","career","career","family","career","true",""
"11","","iat",1124,"f",23,47861,"career","career","career","family","career","false",""
"12","","iat",1655,"f",25,49771,"family","family","family","family","career","true",""
"13","","iat",1321,"f",27,51347,"family","family","family","family","career","true",""
"14","","iat",721,"j",29,52321,"career","career","career","family","career","true",""
"15","","iat",1218,"f",31,53794,"family","family","family","family","career","true",""
"16","","iat",875,"j",33,54924,"career","career","career","family","career","true",""
"17","","iat",1273,"j",35,56451,"career","career","career","family","career","true",""
"18","","iat",1012,"j",37,57719,"career","career","career","family","career","true",""
"19","","iat",2500,"f",39,60473,"family","family","family","family","career","true",""
"20","","iat",718,"j",41,61447,"career","career","career","family","career","true",""
"21","","iat",673,"j",43,62374,"career","career","career","family","career","true",""
"22","","iat",774,"j",45,63403,"career","career","career","family","career","true",""
"23","","iat",691,"j",47,64348,"career","career","career","family","career","true",""
"24","","iat",675,"f",49,65279,"career","career","career","family","career","false",""
"25","","iat",1945,"j",51,67477,"career","career","career","family","career","true",""
"26","","iat",815,"f",53,68547,"family","family","family","family","career","true",""
"27","","iat",812,"f",55,69613,"family","family","family","family","career","true",""
"28","","iat",814,"f",57,70682,"family","family","family","family","career","true",""
"29","","iat",758,"f",59,71695,"family","family","family","family","career","true",""
"30","","iat",730,"j",61,72679,"career","career","career","family","career","true",""
"31","","iat",728,"f",63,73662,"family","family","family","family","career","true",""
"32","","iat",752,"j",65,74668,"career","career","career","family","career","true",""
"33","","iat",599,"j",67,75521,"career","career","career","family","career","true",""
"34","","iat",884,"f",69,76660,"family","family","family","family","career","true",""
"35","","iat",1889,"f",71,78804,"family","family","family","family","career","true",""
"36","","iat",849,"f",73,79909,"family","family","family","family","career","true",""
"37","","iat",611,"j",75,80774,"career","career","career","family","career","true",""
"38","","iat",1756,"f",78,87616,"men","men","men","men","women","true",""
"39","","iat",1038,"f",80,88907,"men","men","men","men","women","true",""
"40","","iat",760,"j",82,89922,"women","women","women","men","women","true",""
"41","","iat",880,"j",84,91057,"women","women","women","men","women","true",""
"42","","iat",738,"f",86,92050,"men","men","men","men","women","true",""
"43","","iat",648,"f",88,92951,"men","men","men","men","women","true",""
"44","","iat",671,"f",90,93877,"men","men","men","men","women","true",""
"45","","iat",710,"f",92,94841,"men","men","men","men","women","true",""
"46","","iat",583,"f",94,95679,"men","men","men","men","women","true",""
"47","","iat",874,"f",96,96807,"women","women","women","men","women","false",""
"48","","iat",2520,"j",98,99581,"women","women","women","men","women","true",""
"49","","iat",1234,"j",100,101069,"men","men","men","men","women","false",""
"50","","iat",1170,"f",102,102493,"men","men","men","men","women","true",""
"51","","iat",1041,"f",104,103789,"men","men","men","men","women","true",""
"52","","iat",1051,"j",106,105094,"women","women","women","men","women","true",""
"53","","iat",660,"j",108,106008,"women","women","women","men","women","true",""
"54","","iat",779,"j",110,107040,"women","women","women","men","women","true",""
"55","","iat",2207,"f",112,109501,"men","men","men","men","women","true",""
"56","","iat",1124,"j",114,110880,"women","women","women","men","women","true",""
"57","","iat",2811,"f",116,113945,"men","men","men","men","women","true",""
"58","","iat",667,"j",118,114868,"women","women","women","men","women","true",""
"59","","iat",897,"f",120,116020,"men","men","men","men","women","true",""
"60","","iat",1066,"j",122,117340,"women","women","women","men","women","true",""
"61","","iat",1710,"j",124,119306,"women","women","women","men","women","true",""
"62","","iat",781,"f",126,120341,"men","men","men","men","women","true",""
"63","","iat",1128,"f",128,121722,"men","men","men","men","women","true",""
"64","","iat",733,"j",130,122710,"women","women","women","men","women","true",""
"65","","iat",825,"f",132,123791,"men","men","men","men","women","true",""
"66","","iat",790,"f",134,124836,"men","men","men","men","women","true",""
"67","","iat",639,"j",136,125729,"women","women","women","men","women","true",""
"68","","iat",765,"j",138,126749,"women","women","women","men","women","true",""
"69","","iat",632,"j",140,127635,"women","women","women","men","women","true",""
"70","","iat",757,"j",142,128647,"women","women","women","men","women","true",""
"71","","iat",1003,"j",144,129904,"women","women","women","men","women","true",""
"72","","iat",750,"j",146,130909,"women","women","women","men","women","true",""
"73","","iat",634,"f",148,131799,"men","men","men","men","women","true",""
"74","","iat",2268,"f",151,138406,"family","family","men or family","family","career","true",""
"75","","iat",808,"f",153,139468,"men","men","men or family","men","women","true",""
"76","","iat",525,"f",155,140246,"men","men","men or family","men","women","true",""
"77","","iat",653,"j",157,141153,"career","career","women or career","family","career","true",""
"78","","iat",561,"j",159,141969,"career","career","women or career","family","career","true",""
"79","","iat",3323,"f",161,145547,"family","family","men or family","family","career","true",""
"80","","iat",766,"j",163,146567,"women","women","women or career","men","women","true",""
"81","","iat",937,"j",165,147758,"women","women","women or career","men","women","true",""
"82","","iat",697,"j",167,148710,"women","women","women or career","men","women","true",""
"83","","iat",644,"j",169,149609,"men","men","men or family","men","women","false",""
"84","","iat",887,"j",171,150751,"career","career","women or career","family","career","true",""
"85","","iat",1056,"f",173,152062,"men","men","men or family","men","women","true",""
"86","","iat",699,"j",175,153014,"women","women","women or career","men","women","true",""
"87","","iat",563,"j",177,153832,"career","career","women or career","family","career","true",""
"88","","iat",563,"f",179,154649,"men","men","men or family","men","women","true",""
"89","","iat",1469,"f",181,156373,"men","men","men or family","men","women","true",""
"90","","iat",841,"j",183,157468,"women","women","women or career","men","women","true",""
"91","","iat",663,"j",185,158385,"women","women","women or career","men","women","true",""
"92","","iat",544,"j",187,159184,"career","career","women or career","family","career","true",""
"93","","iat",787,"j",189,160225,"women","women","women or career","men","women","true",""
"94","","iat",1660,"f",191,162139,"career","career","women or career","family","career","false",""
"95","","iat",1990,"j",193,164383,"career","career","women or career","family","career","true",""
"96","","iat",615,"j",195,165252,"family","family","men or family","family","career","false",""
"97","","iat",1411,"f",197,166917,"family","family","men or family","family","career","true",""
"98","","iat",2955,"j",199,170127,"women","women","women or career","men","women","true",""
"99","","iat",702,"j",201,171082,"women","women","women or career","men","women","true",""
"100","","iat",628,"f",203,171965,"men","men","men or family","men","women","true",""
"101","","iat",789,"f",205,173009,"family","family","men or family","family","career","true",""
"102","","iat",1159,"f",207,174422,"men","men","men or family","men","women","true",""
"103","","iat",623,"f",209,175299,"family","family","men or family","family","career","true",""
"104","","iat",674,"f",211,176229,"family","family","men or family","family","career","true",""
"105","","iat",648,"f",213,177132,"men","men","men or family","men","women","true",""
"106","","iat",737,"j",215,178124,"career","career","women or career","family","career","true",""
"107","","iat",701,"j",217,179078,"career","career","women or career","family","career","true",""
"108","","iat",823,"f",219,180156,"family","family","men or family","family","career","true",""
"109","","iat",1169,"f",221,181579,"men","men","men or family","men","women","true",""
"110","","iat",4529,"j",224,189859,"women","women","women or family","men","women","true",""
"111","","iat",1705,"f",226,191818,"career","career","men or career","career","family","true",""
"112","","iat",2149,"f",228,194220,"career","career","men or career","career","family","true",""
"113","","iat",780,"f",230,195255,"career","career","men or career","career","family","true",""
"114","","iat",2026,"j",232,197534,"women","women","women or family","men","women","true",""
"115","","iat",1444,"f",234,199232,"men","men","men or career","men","women","true",""
"116","","iat",1012,"f",236,200499,"women","women","women or family","men","women","false",""
"117","","iat",1323,"f",238,202076,"men","men","men or career","men","women","true",""
"118","","iat",1317,"f",240,203647,"men","men","men or career","men","women","true",""
"119","","iat",2155,"f",242,206056,"career","career","men or career","career","family","true",""
"120","","iat",1011,"f",244,207321,"men","men","men or career","men","women","true",""
"121","","iat",839,"f",246,208415,"career","career","men or career","career","family","true",""
"122","","iat",605,"f",248,209274,"career","career","men or career","career","family","true",""
"123","","iat",556,"f",250,210083,"women","women","women or family","men","women","false",""
"124","","iat",2068,"j",252,212406,"family","family","women or family","career","family","true",""
"125","","iat",3403,"j",254,216064,"women","women","women or family","men","women","true",""
"126","","iat",788,"f",256,217108,"men","men","men or career","men","women","true",""
"127","","iat",1553,"j",258,218916,"family","family","women or family","career","family","true",""
"128","","iat",827,"f",260,219997,"men","men","men or career","men","women","true",""
"129","","iat",1628,"j",262,221879,"family","family","women or family","career","family","true",""
"130","","iat",1184,"j",264,223319,"women","women","women or family","men","women","true",""
"131","","iat",971,"f",266,224545,"men","men","men or career","men","women","true",""
"132","","iat",2341,"j",268,227141,"family","family","women or family","career","family","true",""
"133","","iat",1354,"j",270,228749,"women","women","women or family","men","women","true",""
"134","","iat",749,"j",272,229753,"women","women","women or family","men","women","true",""
"135","","iat",1231,"j",274,231239,"family","family","women or family","career","family","true",""
"136","","iat",1394,"j",276,232888,"women","women","women or family","men","women","true",""
"137","","iat",2814,"j",278,235956,"family","family","women or family","career","family","true",""
"138","","iat",1292,"j",280,237503,"women","women","women or family","men","women","true",""
"139","","iat",690,"f",282,238448,"men","men","men or career","men","women","true",""
"140","","iat",1128,"j",284,239831,"career","career","men or career","career","family","false",""
"141","","iat",1300,"f",286,241386,"career","career","men or career","career","family","true",""
"142","","iat",3476,"j",288,245116,"family","family","women or family","career","family","true",""
"143","","iat",1054,"f",290,246425,"men","men","men or career","men","women","true",""
"144","","iat",869,"f",292,247548,"career","career","men or career","career","family","true",""
"145","","iat",891,"j",294,248693,"family","family","women or family","career","family","true",""
"146","","Questionnaire",78548,"{""question1"":0,""question2"":1,""question3"":1,""question4"":0,""question5"":3,""question6"":4,""question7"":"""",""question8"":0,""question9"":0,""question10"":4,""question11"":1,""question12"":4,""question13"":4,""question14"":4,""question15"":0}",296,327501,"","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]"
