"","whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"1","maleCareer","prime",1425," ",2,11809,"","","","","","",""
"2","","iat",4200,"j",5,36016,"career","career","career","family","career","true",""
"3","","iat",929,"j",7,37201,"career","career","career","family","career","true",""
"4","","iat",1231,"j",9,38687,"career","career","career","family","career","true",""
"5","","iat",1012,"j",11,39954,"career","career","career","family","career","true",""
"6","","iat",939,"j",13,41148,"career","career","career","family","career","true",""
"7","","iat",895,"f",15,42296,"family","family","family","family","career","true",""
"8","","iat",969,"j",17,43519,"career","career","career","family","career","true",""
"9","","iat",2326,"f",19,46100,"family","family","family","family","career","true",""
"10","","iat",4333,"j",21,50686,"family","family","family","family","career","false",""
"11","","iat",1218,"j",23,52158,"career","career","career","family","career","true",""
"12","","iat",868,"j",25,53281,"career","career","career","family","career","true",""
"13","","iat",705,"j",27,54240,"career","career","career","family","career","true",""
"14","","iat",729,"f",29,55223,"family","family","family","family","career","true",""
"15","","iat",860,"j",31,56337,"career","career","career","family","career","true",""
"16","","iat",993,"f",33,57583,"family","family","family","family","career","true",""
"17","","iat",990,"f",35,58828,"family","family","family","family","career","true",""
"18","","iat",833,"f",37,59916,"family","family","family","family","career","true",""
"19","","iat",647,"j",39,60818,"family","family","family","family","career","false",""
"20","","iat",1549,"f",41,62621,"family","family","family","family","career","true",""
"21","","iat",788,"j",43,63665,"career","career","career","family","career","true",""
"22","","iat",1381,"j",45,65300,"career","career","career","family","career","true",""
"23","","iat",1115,"f",47,66670,"family","family","family","family","career","true",""
"24","","iat",986,"f",49,67909,"family","family","family","family","career","true",""
"25","","iat",980,"f",51,69143,"family","family","family","family","career","true",""
"26","","iat",860,"f",53,70257,"family","family","family","family","career","true",""
"27","","iat",724,"f",55,71235,"family","family","family","family","career","true",""
"28","","iat",1554,"f",57,73044,"family","family","family","family","career","true",""
"29","","iat",964,"j",59,74263,"career","career","career","family","career","true",""
"30","","iat",909,"f",61,75426,"family","family","family","family","career","true",""
"31","","iat",914,"j",63,76594,"career","career","career","family","career","true",""
"32","","iat",819,"f",65,77666,"family","family","family","family","career","true",""
"33","","iat",1042,"f",67,78962,"family","family","family","family","career","true",""
"34","","iat",911,"j",69,80127,"career","career","career","family","career","true",""
"35","","iat",634,"j",71,81015,"career","career","career","family","career","true",""
"36","","iat",685,"j",73,81954,"career","career","career","family","career","true",""
"37","","iat",573,"j",75,82780,"career","career","career","family","career","true",""
"38","","iat",4786,"j",78,88605,"men","men","men","women","men","true",""
"39","","iat",1898,"f",80,90757,"women","women","women","women","men","true",""
"40","","iat",828,"j",82,91839,"men","men","men","women","men","true",""
"41","","iat",808,"j",84,92901,"men","men","men","women","men","true",""
"42","","iat",1304,"j",86,94459,"men","men","men","women","men","true",""
"43","","iat",621,"j",88,95333,"men","men","men","women","men","true",""
"44","","iat",575,"j",90,96161,"men","men","men","women","men","true",""
"45","","iat",569,"j",92,96984,"men","men","men","women","men","true",""
"46","","iat",635,"f",94,97872,"women","women","women","women","men","true",""
"47","","iat",1134,"j",96,99260,"men","men","men","women","men","true",""
"48","","iat",704,"j",98,100218,"men","men","men","women","men","true",""
"49","","iat",14371,"f",100,114842,"women","women","women","women","men","true",""
"50","","iat",883,"f",102,115978,"women","women","women","women","men","true",""
"51","","iat",700,"f",104,116932,"women","women","women","women","men","true",""
"52","","iat",571,"f",106,117757,"women","women","women","women","men","true",""
"53","","iat",3051,"j",108,121061,"men","men","men","women","men","true",""
"54","","iat",781,"f",110,122096,"women","women","women","women","men","true",""
"55","","iat",1329,"f",112,123679,"women","women","women","women","men","true",""
"56","","iat",741,"j",114,124673,"men","men","men","women","men","true",""
"57","","iat",1401,"j",116,126328,"men","men","men","women","men","true",""
"58","","iat",1649,"f",118,128232,"women","women","women","women","men","true",""
"59","","iat",737,"j",120,129222,"men","men","men","women","men","true",""
"60","","iat",1215,"j",122,130691,"women","women","women","women","men","false",""
"61","","iat",2429,"j",124,133374,"men","men","men","women","men","true",""
"62","","iat",723,"j",126,134351,"men","men","men","women","men","true",""
"63","","iat",507,"j",128,135112,"women","women","women","women","men","false",""
"64","","iat",682,"f",130,136047,"women","women","women","women","men","true",""
"65","","iat",720,"j",132,137021,"men","men","men","women","men","true",""
"66","","iat",699,"f",134,137973,"women","women","women","women","men","true",""
"67","","iat",533,"f",136,138760,"women","women","women","women","men","true",""
"68","","iat",477,"f",138,139491,"women","women","women","women","men","true",""
"69","","iat",538,"f",140,140283,"women","women","women","women","men","true",""
"70","","iat",728,"j",142,141264,"men","men","men","women","men","true",""
"71","","iat",582,"f",144,142101,"women","women","women","women","men","true",""
"72","","iat",1503,"j",146,143858,"men","men","men","women","men","true",""
"73","","iat",941,"f",148,145052,"women","women","women","women","men","true",""
"74","","iat",5336,"j",151,151383,"career","career","men or career","family","career","true",""
"75","","iat",843,"f",153,152480,"family","family","women or family","family","career","true",""
"76","","iat",3442,"f",155,156175,"women","women","women or family","women","men","true",""
"77","","iat",3633,"j",157,160061,"men","men","men or career","women","men","true",""
"78","","iat",3703,"f",159,164017,"women","women","women or family","women","men","true",""
"79","","iat",1338,"f",161,165609,"family","family","women or family","family","career","true",""
"80","","iat",995,"j",163,166859,"men","men","men or career","women","men","true",""
"81","","iat",1030,"f",165,168143,"family","family","women or family","family","career","true",""
"82","","iat",715,"f",167,169113,"men","men","men or career","women","men","false",""
"83","","iat",3532,"j",169,172900,"career","career","men or career","family","career","true",""
"84","","iat",4606,"f",171,177760,"women","women","women or family","women","men","true",""
"85","","iat",882,"j",173,178896,"men","men","men or career","women","men","true",""
"86","","iat",913,"f",175,180064,"women","women","women or family","women","men","true",""
"87","","iat",3983,"j",177,184301,"family","family","women or family","family","career","false",""
"88","","iat",837,"j",179,185393,"career","career","men or career","family","career","true",""
"89","","iat",747,"f",181,186394,"women","women","women or family","women","men","true",""
"90","","iat",2299,"j",183,188948,"men","men","men or career","women","men","true",""
"91","","iat",922,"j",185,190125,"career","career","men or career","family","career","true",""
"92","","iat",897,"f",187,191276,"family","family","women or family","family","career","true",""
"93","","iat",612,"j",189,192143,"men","men","men or career","women","men","true",""
"94","","iat",2564,"j",191,194961,"men","men","men or career","women","men","true",""
"95","","iat",734,"f",193,195949,"women","women","women or family","women","men","true",""
"96","","iat",680,"f",195,196883,"career","career","men or career","family","career","false",""
"97","","iat",4132,"f",197,201269,"family","family","women or family","family","career","true",""
"98","","iat",801,"f",199,202326,"family","family","women or family","family","career","true",""
"99","","iat",902,"j",201,203481,"women","women","women or family","women","men","false",""
"100","","iat",2868,"j",203,206604,"men","men","men or career","women","men","true",""
"101","","iat",1283,"f",205,208140,"family","family","women or family","family","career","true",""
"102","","iat",1063,"j",207,209457,"career","career","men or career","family","career","true",""
"103","","iat",1163,"f",209,210875,"women","women","women or family","women","men","true",""
"104","","iat",777,"j",211,211906,"men","men","men or career","women","men","true",""
"105","","iat",1624,"j",213,213784,"family","family","women or family","family","career","false",""
"106","","iat",762,"j",215,214799,"career","career","men or career","family","career","true",""
"107","","iat",708,"j",217,215761,"men","men","men or career","women","men","true",""
"108","","iat",688,"f",219,216703,"women","women","women or family","women","men","true",""
"109","","iat",710,"j",221,217668,"career","career","men or career","family","career","true",""
"110","","iat",5190,"j",224,223939,"men","men","men or family","women","men","true",""
"111","","iat",960,"f",226,225153,"women","women","women or career","women","men","true",""
"112","","iat",2088,"f",228,227495,"career","career","women or career","career","family","true",""
"113","","iat",673,"f",230,228423,"career","career","women or career","career","family","true",""
"114","","iat",857,"j",232,229535,"family","family","men or family","career","family","true",""
"115","","iat",1108,"f",234,230897,"women","women","women or career","women","men","true",""
"116","","iat",680,"f",236,231832,"women","women","women or career","women","men","true",""
"117","","iat",727,"j",238,232813,"family","family","men or family","career","family","true",""
"118","","iat",752,"f",240,233818,"career","career","women or career","career","family","true",""
"119","","iat",1027,"j",242,235100,"women","women","women or career","women","men","false",""
"120","","iat",1540,"j",244,236895,"men","men","men or family","women","men","true",""
"121","","iat",547,"j",246,237696,"family","family","men or family","career","family","true",""
"122","","iat",2668,"j",248,240619,"men","men","men or family","women","men","true",""
"123","","iat",763,"f",250,241636,"women","women","women or career","women","men","true",""
"124","","iat",830,"j",252,242721,"men","men","men or family","women","men","true",""
"125","","iat",1042,"j",254,244018,"family","family","men or family","career","family","true",""
"126","","iat",709,"f",256,244981,"women","women","women or career","women","men","true",""
"127","","iat",719,"j",258,245955,"family","family","men or family","career","family","true",""
"128","","iat",630,"j",260,246839,"career","career","women or career","career","family","false",""
"129","","iat",3173,"j",262,250266,"career","career","women or career","career","family","false",""
"130","","iat",4570,"j",264,255091,"men","men","men or family","women","men","true",""
"131","","iat",929,"f",266,256275,"women","women","women or career","women","men","true",""
"132","","iat",1790,"f",268,258320,"women","women","women or career","women","men","true",""
"133","","iat",857,"j",270,259430,"men","men","men or family","women","men","true",""
"134","","iat",12295,"f",272,271980,"career","career","women or career","career","family","true",""
"135","","iat",897,"j",274,273132,"family","family","men or family","career","family","true",""
"136","","iat",801,"f",276,274187,"women","women","women or career","women","men","true",""
"137","","iat",1745,"j",278,276185,"men","men","men or family","women","men","true",""
"138","","iat",807,"j",280,277247,"family","family","men or family","career","family","true",""
"139","","iat",813,"f",282,278313,"family","family","men or family","career","family","false",""
